ID Name Type Address
0 CheckTask 0 0x55e73b7816d0
1 TaskNotify_TaskToNotify 0 0x55e73b781b50
2 BlockQ_QueueParameters1 3 0x55e73b781d90
3 BlockQ_QueueParameters2 3 0x55e73b781e70
4 BlockQ_QueueParameters3 3 0x55e73b782790
5 BlockQ_QueueParameters4 3 0x55e73b782870
6 BlockQ_QueueParameters5 3 0x55e73b783190
7 BlockQ_QueueParameters6 3 0x55e73b783270
8 BlockQ_TaskQConsB1 0 0x55e73b7820d0
9 BlockQ_TaskQProdB2 0 0x55e73b782550
10 BlockQ_TaskQConsB3 0 0x55e73b782ad0
11 BlockQ_TaskQProdB4 0 0x55e73b782f50
12 BlockQ_TaskQProdB5 0 0x55e73b7834d0
13 BlockQ_TaskQConsB6 0 0x55e73b783950
14 BlockQ_Queue1-2 1 0x55e73b781db0
15 BlockQ_Queue3-4 1 0x55e73b7827b0
16 BlockQ_Queue5-6 1 0x55e73b7831b0
17 semtest_Polling_SemaphoreParameters 4 0x55e73b783b90
18 semtest_Blocking_SemaphoreParameters 5 0x55e73b784580
19 semtest_TaskPolSEM1 0 0x55e73b783ec0
20 semtest_TaskPolSEM2 0 0x55e73b784340
21 semtest_TaskBlkSEM1 0 0x55e73b7848b0
22 semtest_TaskBlkSEM2 0 0x55e73b784d30
23 semtest_Semaphore1 4 0x55e73b783bb0
24 semtest_Semaphore2 4 0x55e73b7845a0
25 PollQ_Queue 1 0x55e73b784f70
26 PollQ_TaskQConsNB 0 0x55e73b785280
27 PollQ_TaskQProdNB 0 0x55e73b785700
28 integer_TaskIntMath 0 0x55e73b785b80
29 GenQTest_TaskMuLow 0 0x55e73b786600
30 GenQTest_TaskGenQ 0 0x55e73b7860d0
31 GenQTest_TaskMuMed 0 0x55e73b786a80
32 GenQTest_TaskMuHigh 0 0x55e73b786f00
33 GenQTest_TasKMuHigh2 0 0x55e73b787380
34 GenQTest_Queue 1 0x55e73b785dc0
35 GenQTest_Mutex 4 0x55e73b786310
36 QPeek_TaskPeekL 0 0x55e73b7878d0
37 QPeek_TaskPeekM 0 0x55e73b787d50
38 QPeek_TaskPeekH1 0 0x55e73b7881d0
39 QPeek_TaskPeekH2 0 0x55e73b788650
40 QPeek_Queue 1 0x55e73b7875c0
41 flop_TaskMath1 0 0x55e73b788ad0
42 flop_TaskMath2 0 0x55e73b788f50
43 flop_TaskMath3 0 0x55e73b7893d0
44 flop_TaskMath4 0 0x55e73b789850
45 recmutex_ControllingTask 0 0x55e73b789d80
46 recmutex_BlockingTask 0 0x55e73b78a200
47 recmutex_PollinTask 0 0x55e73b78a680
48 recmutex_Mutex 4 0x55e73b789a90
49 countsem_TaskCNT1 0 0x55e73b78ac60
50 countsem_TaskCNT2 0 0x55e73b78b0e0
51 countsem_Params1 6 0x55e7397e1d00
52 countsem_Params2 6 0x55e7397e1d18
53 countsem_Semaphore1 4 0x55e73b78a8c0
54 countsem_Semaphore2 4 0x55e73b78a970
55 dynamic_TaskContinuousIncrement 0 0x55e73b78b620
56 dynamic_TaskLimitedIncrement 0 0x55e73b78baa0
57 dynamic_TaskCounterControl 0 0x55e73b78bf20
58 dynamic_TaskSendWhenSuspended 0 0x55e73b78c3a0
59 dynamic_TaskReceiveWhenSuspended 0 0x55e73b78c820
60 dynamic_Queue 1 0x55e73b78b320
61 QueueOverwrite_TaskQOver 0 0x55e73b78cd60
62 QueueOverwrite_Queue 1 0x55e73b78ca60
63 EventGroups_SlaveTask 0 0x55e73b78d1e0
64 EventGroups_MasterTask 0 0x55e73b78d660
65 EventGroups_SyncTask1 0 0x55e73b78dae0
66 EventGroups_SyncTask2 0 0x55e73b78df60
67 EventGroups_EventGroupISR 7 0x55e73b78e1a0
68 IntSemTest_ISRMutex 4 0x55e73b78e1f0
69 IntSemTest_ISRCountSemaphore 4 0x55e73b78e2a0
70 IntSemTest_Mutex 4 0x55e73b78e350
